,title,genre,director,released_year,studio,rotten_score,audience_score
1185,La Danse -- Le Ballet de l'Opera de Paris,"Documentary,Musical & Performing Arts",Frederick Wiseman,2009,Zipporah Films,87,74
1186,Gran Torino,Drama,Clint Eastwood,2009,Warner Bros. Pictures/Village Roadshow,80,90
1187,Skin,"Art House & International,Drama,Mystery & Suspense",Anthony Fabian,2009,Elysian Films,86,79
1188,The Informant!,"Comedy,Drama,Mystery & Suspense",Steven Soderbergh,2009,Warner Bros. Pictures,80,44
1189,Bright Star,"Drama,Romance",Jane Campion,2009,Apparition Films,82,68
1190,Michael Jackson's This Is It,"Documentary,Musical & Performing Arts",Kenny Ortega,2009,Sony Pictures/Columbia Pictures,81,82
1191,The September Issue,"Documentary,Special Interest",R.J. Cutler,2009,Roadside Attractions,83,71
1192,Pontypool,"Art House & International,Horror",Bruce McDonald,2009,IFC Entertainment,84,68
1193,Soul Power,"Documentary,Musical & Performing Arts",Jeffrey Levy-Hinte,2009,Sony Pictures Classics,84,79
1194,The Hangover,Comedy,Todd Phillips,2009,Warner Bros. Pictures,78,84
1195,Broken Embraces,"Art House & International,Comedy,Drama,Mystery & Suspense",Pedro Almodóvar,2009,Sony Pictures Classics,81,75
1196,Black Dynamite,"Action & Adventure,Comedy","Shawn Maurer,Scott Sanders",2009,Sony Pictures,83,85
1197,Bakjwi (Thirst),"Art House & International,Drama,Horror",Chan-wook Park,2009,Focus Features,81,75
1198,Julie & Julia,"Comedy,Drama",Nora Ephron,2009,Sony/Columbia Pictures,77,70
1199,No Impact Man: The Documentary,"Documentary,Special Interest","Justin Schein,Laura Gabbert",2009,Oscilloscope Pictures,83,63
1200,Invictus,"Drama,Sports & Fitness",Clint Eastwood,2009,Warner Bros. Pictures,76,75
1201,Bandslam,"Comedy,Drama,Musical & Performing Arts",Todd Graff,2009,Summit Entertainment,81,64
1202,Collapse,"Documentary,Special Interest",Chris Smith,2009,Vitagraph Films,83,84
1203,It Might Get Loud,"Documentary,Musical & Performing Arts",Davis Guggenheim,2009,Sony Pictures Classics,80,85
1204,Humpday,"Comedy,Drama",Lynn Shelton,2009,Magnolia Pictures,79,51
1205,We Live in Public,"Documentary,Special Interest",Ondi Timoner,2009,Interloper & Abramorama,82,79
1206,A Town Called Panic (Panique au village),"Action & Adventure,Animation,Art House & International,Kids & Family","Stéphane Aubier,Vincent Patar",2009,Zeitgeist Films,81,86
1207,Okuribito (Departures),"Art House & International,Drama",Yojiro Takita,2009,Regent Releasing,79,92
1208,Where the Wild Things Are,"Action & Adventure,Animation,Comedy,Drama,Kids & Family,Science Fiction & Fantasy",Spike Jonze,2009,Warner Bros. Pictures,73,57
1209,The Young Victoria,Drama,Jean-Marc Vallée,2009,Apparition,77,74
1210,"Politist, adj. (Police, Adjective)","Art House & International,Comedy,Drama",Corneliu Porumboiu,2009,IFC Films,79,60
1211,Capitalism: A Love Story,"Documentary,Special Interest",Michael Moore,2009,Overture Films,75,74
1212,Triangle,Mystery & Suspense,Christopher Smith (VIII),2009,Icon Entertainment International,80,66
1213,Monsters vs. Aliens,"Action & Adventure,Animation,Kids & Family,Science Fiction & Fantasy","Robert Letterman,Rob Letterman,Conrad Vernon",2009,Paramount/Dreamworks Animation,73,59
1214,Un Baiser s'il vous plaît (Shall We Kiss?),"Art House & International,Comedy,Romance",Emmanuel Mouret,2009,Music Box Films,78,62
1215,The Dark Knight,"Action & Adventure,Drama,Science Fiction & Fantasy",Christopher Nolan,2008,Warner Bros. Pictures/Legendary,94,94
1216,The Wrestler,Drama,Darren Aronofsky,2008,Fox Searchlight Pictures,98,88
1217,Man on Wire,"Documentary,Special Interest",James Marsh,2008,Magnolia Pictures,100,87
1218,Let the Right One In,"Art House & International,Drama,Horror",Tomas Alfredson,2008,Magnet/Magnolia Pictures,98,90
1219,WALL-E,"Action & Adventure,Animation,Science Fiction & Fantasy",Andrew Stanton,2008,Walt Disney Pictures,95,90
1220,Iron Man,"Action & Adventure,Science Fiction & Fantasy","Matthew Hollaway,Mark Fergus,Hawk Ostby,Art Marcum,Matt Holloway",2008,Paramount Pictures,93,91
1221,Frost/Nixon,Drama,Ron Howard,2008,Universal Pictures,93,88
1222,Milk,"Drama,Gay & Lesbian",Gus Van Sant,2008,Focus Features,93,89
1223,Slumdog Millionaire,"Drama,Romance",Danny Boyle,2008,Fox Searchlight Pictures,91,90
1224,Aruitemo Aruitemo (Still Walking),"Art House & International,Drama",Hirokazu Koreeda,2008,IFC Films,100,90
1225,The Class,"Art House & International,Drama",Laurent Cantet,2008,Sony Pictures Classics,96,82
1226,Waltz with Bashir,"Animation,Art House & International,Documentary,Special Interest",Ari Folman,2008,Sony Pictures Classics,96,91
1227,35 Rhums (35 Shots of Rum),"Art House & International,Drama",Claire Denis,2008,Cinéart,97,65
1228,Burma VJ: Reporter i et Lukket Land (Burma VJ: Reporting from a Closed Country),"Art House & International,Documentary,Special Interest","Anders Østergaard,Anders Høgsbro Østergaard",2008,Oscilloscope Pictures,97,91
1229,"Bigger, Stronger, Faster*","Documentary,Special Interest",Chris Bell,2008,Magnolia,96,80
1230,Trouble the Water,"Documentary,Special Interest","Carl Deal,Tia Lessin",2008,Zeitgeist Films,96,86
1231,Les Plages d'Agnès (The Beaches of Agnes),"Art House & International,Documentary,Musical & Performing Arts",Agnès Varda,2008,Cinema Guild,96,89
1232,Happy-Go-Lucky,"Art House & International,Comedy,Drama",Mike Leigh,2008,Miramax Films,92,67
1233,Gomorrah (Gomorra),"Art House & International,Drama,Mystery & Suspense",Matteo Garrone,2008,IFC Films,92,70
1234,Chop Shop,"Art House & International,Drama",Ramin Bahrani,2008,Koch Lorber Films,96,77
1235,The Pool,"Art House & International,Comedy,Drama",Chris Smith,2008,Cinetic Media,96,73
1236,Sugar,"Drama,Sports & Fitness","Anna Boden,Ryan Fleck",2008,Sony Classics,92,80
1237,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!","Art House & International,Documentary,Television",Mark Hartley,2008,Magnolia Pictures/Magnet Releasing,95,80
1238,Bolt,"Action & Adventure,Animation,Comedy","Byron Howard,Chris Williams (IX)",2008,Walt Disney Pictures,89,74
1239,Transsiberian,"Drama,Mystery & Suspense",Brad Anderson,2008,First Look,93,65
1240,Hellboy II: The Golden Army (Hellboy 2),"Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy",Guillermo del Toro,2008,Universal Pictures,86,71
1241,Dear Zachary: A Letter to a Son About His Father,"Documentary,Drama,Special Interest",Kurt Kuenne,2008,Oscilloscope Pictures,94,96
1242,Hunger,"Art House & International,Drama,Special Interest",Steve McQueen (III),2008,IFC Films,90,83
1243,Caramel,"Comedy,Drama,Romance",Nadine Labaki,2008,Roadside Attractions,92,81
1244,Ballast,"Art House & International,Drama",Lance Hammer,2008,Alluvial Film Company,92,71
1245,Kung Fu Panda,"Action & Adventure,Animation,Kids & Family","John Stevenson,Mark Osborne",2008,Paramount Pictures,87,82
