,title,genre,director,released_year,studio,rotten_score,audience_score
604,How to Train Your Dragon 2,"Action & Adventure,Animation,Kids & Family,Science Fiction & Fantasy",Dean DeBlois,2014,20th Century Fox,92,89
605,The Rocket,Drama,Kim Mordaunt,2014,Kino Lorber,97,83
606,Force Majeure,"Art House & International,Comedy,Drama",Ruben Östlund,2014,Magnolia Pictures,93,76
607,Finding Vivian Maier,"Documentary,Special Interest","Charlie Siskel,John Maloof",2014,IFC Films,95,89
608,Frank,"Comedy,Drama",Lenny Abrahamson,2014,Magnolia Pictures,92,72
609,Locke,"Drama,Mystery & Suspense",Steven Knight,2014,A24 Films,90,72
610,"20,000 Days on Earth","Documentary,Musical & Performing Arts,Special Interest","Iain Forsyth,Jane Pollard",2014,Drafthouse Films,95,79
611,Foxcatcher,Drama,Bennett Miller,2014,Sony Pictures Classics,88,66
612,Big Hero 6,"Animation,Kids & Family","Chris Williams (IX),Don Hall",2014,Walt Disney Pictures,89,91
613,Manakamana,"Documentary,Special Interest","Stephanie Spray,Pacho Velez",2014,Cinema Guild,96,61
614,Particle Fever,Documentary,Mark Levinson,2014,BOND360,96,83
615,The Last of the Unjust,"Documentary,Special Interest",Claude Lanzmann,2014,Cohen Media Group,96,78
616,Stranger by the Lake,"Drama,Mystery & Suspense",Alain Guiraudie,2014,Strand Releasing,94,65
617,The Babadook,"Drama,Horror,Mystery & Suspense",Jennifer Kent,2014,IFC Films,98,72
618,Nightcrawler,"Drama,Mystery & Suspense",Dan Gilroy,2014,Open Road Films,95,85
619,Life Itself,"Documentary,Special Interest,Television",Steve James (II),2014,Magnolia Pictures,97,88
620,Birdman,"Comedy,Drama",Alejandro González Iñárritu,2014,Fox Searchlight,91,77
621,The LEGO Movie,"Action & Adventure,Animation,Comedy,Kids & Family","Phil Lord,Christopher Miller,Chris McKay",2014,Warner Bros. Pictures,95,87
622,Whiplash,Drama,Damien Chazelle,2014,Sony Pictures Classics,93,94
623,Snowpiercer,Science Fiction & Fantasy,Bong Joon Ho,2014,Radius-TWC,95,72
624,Mr. Turner,Drama,Mike Leigh,2014,Sony Pictures Classics,97,56
625,"Two Days, One Night",Drama,"Jean-Pierre Dardenne,Luc Dardenne",2014,IFC Films,97,76
626,Gloria,"Art House & International,Drama",Sebastián Lelio,2014,Roadside Attractions,99,64
627,Guardians of the Galaxy,"Action & Adventure,Science Fiction & Fantasy",James Gunn (II),2014,Walt Disney Pictures,91,92
628,Leviathan,Drama,Andrey Zvyagintsev,2014,Sony Pictures Classics,98,80
629,The Tale of the Princess Kaguya,Art House & International,Isao Takahata,2014,GKIDS,100,90
630,Starred Up,Drama,David Mackenzie,2014,Tribeca Films,99,84
631,The Grand Budapest Hotel,"Comedy,Drama",Wes Anderson,2014,Fox Searchlight,91,86
632,X-Men: Days of Future Past,"Action & Adventure,Science Fiction & Fantasy",Bryan Singer,2014,20th Century Fox,90,91
633,Live Die Repeat: Edge of Tomorrow,"Drama,Science Fiction & Fantasy",Doug Liman,2014,Warner Bros. Pictures,90,90
634,Dawn Of The Planet Of The Apes,"Action & Adventure,Drama,Science Fiction & Fantasy",Matt Reeves,2014,20th Century Fox,90,88
635,Song Of The Sea,"Animation,Kids & Family,Science Fiction & Fantasy",Tomm Moore,2014,GKIDS,99,92
636,Ida,Drama,Pawel Pawlikowski,2014,Music Box Films,96,79
637,The Missing Picture,"Documentary,Drama",Rithy Panh,2014,Strand Releasing,99,76
638,Captain America: The Winter Soldier,"Action & Adventure,Science Fiction & Fantasy","Joe Russo,Anthony Russo",2014,Walt Disney Pictures,90,92
639,Citizenfour,Documentary,Laura Poitras,2014,Radius-TWC,96,87
640,The Overnighters,"Documentary,Drama,Special Interest",Jesse Moss,2014,Drafthouse Films,99,85
641,Blue Ruin,Mystery & Suspense,Jeremy Saulnier,2014,Radius-TWC,96,79
642,Jodorowsky's Dune,"Documentary,Science Fiction & Fantasy,Special Interest",Frank Pavich,2014,Sony Pictures Classics,97,89
643,Elaine Stritch: Shoot Me,"Comedy,Documentary,Special Interest",Chiemi Karasawa,2014,IFC Films,99,79
644,Ilo Ilo,Drama,Anthony Chen,2014,Film Movement,100,78
645,Gone Girl,"Drama,Mystery & Suspense",David Fincher,2014,20th Century Fox,87,87
646,We Are the Best!,"Comedy,Drama,Musical & Performing Arts",Lukas Moodysson,2014,Magnolia Pictures,96,78
647,A Girl Walks Home Alone at Night,"Horror,Mystery & Suspense,Romance",Ana Lily Amirpour,2014,Vice Films,96,75
648,Love Is Strange,"Drama,Special Interest",Ira Sachs,2014,Sony Pictures Classics,94,66
649,The Lunchbox,"Drama,Romance",Ritesh Batra,2014,Sony Pictures Classics,96,86
650,The Imitation Game,"Drama,Mystery & Suspense",Morten Tyldum,2014,The Weinstein Company,89,91
651,Wild,Drama,Jean-Marc Vallée,2014,20th Century Fox,89,75
652,Ernest & Célestine,"Animation,Art House & International,Science Fiction & Fantasy","Vincent Patar,Benjamin Renner,Stéphane Aubier",2014,GKIDS,97,88
653,A Summer's Tale,"Art House & International,Drama,Romance",Eric Rohmer,2014,Big World Pictures,98,83
654,Keep On Keepin' On,"Documentary,Musical & Performing Arts",Alan Hicks,2014,Radius-TWC,98,88
655,Housebound,"Comedy,Mystery & Suspense",Gerard Johnstone,2014,Xlrator Media,98,73
656,How to Train Your Dragon 2,"Action & Adventure,Animation,Kids & Family,Science Fiction & Fantasy",Dean DeBlois,2014,20th Century Fox,92,89
657,The Rocket,Drama,Kim Mordaunt,2014,Kino Lorber,97,83
658,Force Majeure,"Art House & International,Comedy,Drama",Ruben Östlund,2014,Magnolia Pictures,93,76
659,Finding Vivian Maier,"Documentary,Special Interest","Charlie Siskel,John Maloof",2014,IFC Films,95,89
660,Frank,"Comedy,Drama",Lenny Abrahamson,2014,Magnolia Pictures,92,72
661,Locke,"Drama,Mystery & Suspense",Steven Knight,2014,A24 Films,90,72
662,"20,000 Days on Earth","Documentary,Musical & Performing Arts,Special Interest","Iain Forsyth,Jane Pollard",2014,Drafthouse Films,95,79
663,Foxcatcher,Drama,Bennett Miller,2014,Sony Pictures Classics,88,66
664,Big Hero 6,"Animation,Kids & Family","Chris Williams (IX),Don Hall",2014,Walt Disney Pictures,89,91
665,Manakamana,"Documentary,Special Interest","Stephanie Spray,Pacho Velez",2014,Cinema Guild,96,61
666,Particle Fever,Documentary,Mark Levinson,2014,BOND360,96,83
667,The Last of the Unjust,"Documentary,Special Interest",Claude Lanzmann,2014,Cohen Media Group,96,78
668,Stranger by the Lake,"Drama,Mystery & Suspense",Alain Guiraudie,2014,Strand Releasing,94,65
669,Obvious Child,"Comedy,Romance",Gillian Robespierre,2014,A24 Films,91,72
670,National Gallery,"Documentary,Special Interest",Frederick Wiseman,2014,Zipporah,95,71
671,Last Days in Vietnam,"Documentary,Special Interest",Rory Kennedy,2014,American Experience/PBS Films,95,84
672,The Drop,Drama,Michaël R. Roskam,2014,Fox Searchlight,89,76
673,Pride,"Comedy,Drama",Matthew Warchus,2014,CBS Films,91,89
674,Calvary,"Art House & International,Comedy,Drama",John Michael McDonagh,2014,Fox Searchlight,90,80
675,Dear White People,"Comedy,Drama",Justin Simien,2014,Roadside Attractions,91,62
676,The Normal Heart,"Drama,Television",Ryan Murphy,2014,HBO Films,94,87
677,Diplomacy,Drama,Volker Schlöndorff,2014,Zeitgeist Films,94,81
678,In Bloom,Drama,"Nana Ekvtimishvili,Simon Gross",2014,Big World Pictures,94,75
679,John Wick,Action & Adventure,"David Leitch,Chad Stahelski",2014,LionsGate Entertainment,87,81
680,The Guest,Mystery & Suspense,Adam Wingard,2014,Picturehouse Films,91,69
681,Child's Pose,Drama,Calin Peter Netzer,2014,Zeitgeist Films,92,76
682,The Dance of Reality,Drama,Alejandro Jodorowsky,2014,ABKCO Films,93,83
683,The Wind Rises,"Animation,Art House & International,Drama",Hayao Miyazaki,2014,Walt Disney Pictures,88,84
684,The Internet's Own Boy: The Story of Aaron Swartz,"Documentary,Special Interest",Brian Knappenberger,2014,FilmBuff and Participant,93,91
685,A Most Wanted Man,"Drama,Mystery & Suspense",Anton Corbijn,2014,Lionsgate/Roadside Attractions,87,65
686,Tim's Vermeer,"Documentary,Drama,Special Interest",Teller,2014,Sony Pictures Classics,90,86
687,Chef,Comedy,Jon Favreau,2014,Open Road Films,87,85
688,She's Beautiful When She's Angry,"Documentary,Special Interest",Mary Dore,2014,International Film Circuit,93,87
689,Mistaken for Strangers,"Comedy,Documentary,Musical & Performing Arts",Tom Berninger,2014,Abramorama Entertainment,92,85
690,Le Week-End,Drama,Roger Michell,2014,Music Box Films,88,56
691,Under the Skin,Science Fiction & Fantasy,Jonathan Glazer,2014,A24,84,55
692,12 O'clock Boys,"Documentary,Special Interest",Lotfy Nathan,2014,Oscilloscope Laboratories,92,65
693,Top Five,Comedy,Chris Rock,2014,Paramount Pictures,86,64
694,The Skeleton Twins,"Comedy,Drama",Craig Johnson,2014,Roadside Attractions,87,69
695,Disneynature Bears,Kids & Family,"Alastair Fothergill,Keith Scholey,Adam Chapman",2014,Walt Disney Pictures,91,78
696,The Dog,"Documentary,Drama","Allison Berg,François Keraudren",2014,Drafthouse Films,91,69
697,Only Lovers Left Alive,Drama,Jim Jarmusch,2014,Sony Pictures Classics,85,75
698,22 Jump Street,"Action & Adventure,Comedy","Phil Lord,Christopher Miller",2014,Sony Pictures,84,77
699,Cheap Thrills,"Comedy,Mystery & Suspense",E.L. Katz,2014,Drafthouse Films,89,69
700,To Be Takei,"Documentary,Special Interest","Jennifer M. Kroot,Bill Weber",2014,Starz Digital Media,91,75
701,Art and Craft,"Documentary,Special Interest","Sam Cullman,Jennifer Grausman",2014,Oscilloscope Pictures,91,74
702,Closed Curtain,Drama,"Kambuzia Partovi,Kambozia Partovi,Jafar Panahi",2014,Variance Films,91,67
703,Venus in Fur,"Comedy,Drama",Roman Polanski,2014,IFC Films,88,72
704,Omar,Drama,Hany Abu-Assad,2014,Adopt Films,89,84
705,Night Moves,Drama,Kelly Reichardt,2014,Cinedigm Entertainment,86,42
706,The Blue Room (La chambre bleue),"Drama,Mystery & Suspense",Mathieu Amalric,2014,IFC Films,89,51
707,Wetlands,"Comedy,Drama",David Wnendt,2014,Strand Releasing,90,66
708,The Kill Team,"Documentary,Special Interest",Dan Krauss,2014,Oscilloscope Pictures,90,73
709,The Case Against 8,"Documentary,Special Interest","Ben Cotner,Ryan White",2014,HBO Documentary Films,90,88
710,Siddharth,Drama,Richie Mehta,2014,Zeitgeist Films,90,77
711,Code Black,"Documentary,Special Interest",Ryan McGarry,2014,Long Shot Factory,90,80
712,The Trip To Italy,"Comedy,Drama",Michael Winterbottom,2014,IFC Films,86,56
713,Adieu au langage (Goodbye to Language),Drama,Jean-Luc Godard,2014,Kino Lorber,88,47
714,"Like Father, Like Son",Drama,Hirokazu Koreeda,2014,IFC Films,87,89
715,Gravity,"Drama,Science Fiction & Fantasy",Alfonso Cuarón,2013,Warner Bros. Pictures,96,80
716,12 Years a Slave,Drama,Steve McQueen (III),2013,Fox Searchlight,95,90
717,Her,"Drama,Science Fiction & Fantasy,Special Interest,Romance",Spike Jonze,2013,Warner Bros. Pictures,94,82
718,Before Midnight,"Drama,Romance",Richard Linklater,2013,Drafthouse Recommends,97,82
719,Short Term 12,Drama,Destin Daniel Cretton,2013,Cinedigm,98,92
720,Mud,Drama,Jeff Nichols,2013,Lionsgate/Roadside Attractions,97,80
721,Captain Phillips,Drama,Paul Greengrass,2013,Sony Pictures,93,89
722,20 Feet From Stardom,"Documentary,Musical & Performing Arts",Morgan Neville,2013,Radius-TWC,99,82
723,Wadjda,Drama,Haifaa Al-Mansour,2013,Sony Pictures Classics,99,88
724,All Is Lost,"Action & Adventure,Mystery & Suspense",J.C. Chandor,2013,Lionsgate/Roadside Attractions,94,63
725,American Hustle,Drama,David O. Russell,2013,Sony Pictures,92,74
726,Inside Llewyn Davis,Drama,"Ethan Coen,Joel Coen",2013,CBS Films,92,74
727,Blackfish,"Documentary,Special Interest",Gabriela Cowperthwaite,2013,Magnolia Pictures,98,90
728,Zero Dark Thirty,Drama,Kathryn Bigelow,2013,Columbia Pictures,91,80
729,The Square (Al Midan),"Documentary,Special Interest",Jehane Noujaim,2013,Participant Media,100,90
730,Enough Said,"Comedy,Drama,Romance",Nicole Holofcener,2013,s,95,75
731,Fruitvale Station,Drama,Ryan Coogler,2013,The Weinstein Company,94,87
732,Dallas Buyers Club,Drama,Jean-Marc Vallée,2013,Focus Features,92,91
733,56 Up,"Documentary,Special Interest","Michael Apted,Paul Almond",2013,First Run Features,99,75
734,The Selfish Giant,Drama,Clio Barnard,2013,Sundance Selects,98,81
735,The Act Of Killing,"Documentary,Special Interest","Joshua Oppenheimer,Christine Cynn",2013,Drafthouse Films,95,85
736,Nebraska,Drama,Alexander Payne,2013,Paramount Pictures,91,83
737,The Hunger Games: Catching Fire,"Action & Adventure,Science Fiction & Fantasy",Francis Lawrence,2013,Lionsgate Films,89,89
738,Blue Jasmine,Comedy,Woody Allen,2013,Sony Pictures Classics,91,77
739,Frozen,"Action & Adventure,Animation,Comedy,Kids & Family",Chris Buck,2013,Walt Disney Pictures,90,85
740,Sound City,"Documentary,Musical & Performing Arts",Dave Grohl,2013,Variance Films,98,90
741,Call Me Kuchu,"Documentary,Drama,Special Interest","Katherine Fairfax Wright,Malika Zouhali-Worrall",2013,Cinedigm,98,88
742,Let The Fire Burn,"Documentary,Special Interest",Jason Osder,2013,Zeitgeist Films,98,91
743,Stories We Tell,Documentary,Sarah Polley,2013,Roadside Attractions,94,79
744,A Hijacking,Mystery & Suspense,Tobias Lindholm,2013,Magnolia Pictures,95,76
745,Muscle Shoals,"Documentary,Musical & Performing Arts,Special Interest","Greg 'Freddy' Camalier,Greg Camalier",2013,Magnolia Pictures,96,89
746,Room 237,"Documentary,Horror,Television",Rodney Ascher,2013,IFC Films,94,55
747,No,"Art House & International,Drama",Pablo Larraín,2013,Sony Pictures Classics,94,80
748,Frances Ha,Comedy,Noah Baumbach,2013,IFC Films,92,77
749,Le passé (The Past),Drama,Asghar Farhadi,2013,Sony Pictures Classics,93,83
750,Behind the Candelabra,"Drama,Television",Steven Soderbergh,2013,HBO Films,95,71
751,Lore,"Art House & International,Drama",Cate Shortland,2013,Music Box Films,94,76
752,The World's End,Comedy,Edgar Wright,2013,Focus Features,89,71
753,The Spectacular Now,"Comedy,Drama,Romance",James Ponsoldt,2013,A24,92,76
754,The Gatekeepers,"Documentary,Special Interest",Dror Moreh,2013,Sony Pictures Classics,94,79
755,Blancanieves,"Art House & International,Drama",Pablo Berger,2013,Cohen Media Group,94,84
756,I Am Divine,"Documentary,Special Interest",Jeffrey Schwarz,2013,Wolfe Releasing,96,83
757,Cutie And The Boxer,"Documentary,Special Interest",Zachary Heinzerling,2013,Radius,95,75
758,Philomena,Drama,Stephen Frears,2013,The Weinstein Company,90,89
759,The Crash Reel,"Documentary,Sports & Fitness",Lucy Walker,2013,Phase 4 Films,96,94
760,The Hunt (Jagten),Drama,Thomas Vinterberg,2013,Magnolia Pictures,92,93
761,A Touch of Sin,Drama,Zhangke Jia,2013,Kino Lorber,94,74
762,Rush,"Action & Adventure,Drama",Ron Howard,2013,Universal Pictures,88,88
763,In a World...,"Comedy,Drama",Lake Bell,2013,Roadside Attractions,92,71
764,Museum Hours,Drama,Jem Cohen,2013,Cinema Guild,94,61
765,Blue Is The Warmest Color,Drama,Abdel Kechiche,2013,IFC Films,89,85
766,The History Of Future Folk,Comedy,"J. Anderson Mitchell,Jeremy Kipp Walker",2013,Variance Films,95,85
767,The Sapphires,"Comedy,Drama,Musical & Performing Arts",Wayne Blair,2013,The Weinstein Company,91,76
768,War Witch,Drama,Kim Nguyen (IV),2013,Tribeca Film,94,78
769,Still Mine,Drama,Michael McGowan,2013,Samuel Goldwyn Films,94,81
770,The Great Beauty,"Comedy,Drama",Paolo Sorrentino,2013,Janus Films,91,80
771,Drug War,"Art House & International,Special Interest",Johnnie To,2013,Variance Films,94,77
772,A Band Called Death,"Documentary,Musical & Performing Arts","Jeff Howlett,Mark Christopher Covino",2013,Drafthouse Films,94,85
773,Star Trek Into Darkness,Science Fiction & Fantasy,J.J. Abrams,2013,Paramount,84,89
774,Our Children,"Art House & International,Drama",Joachim Lafosse,2013,DistriB Films,93,69
775,Mother Of George,Drama,Andrew Dosunmu,2013,Oscilloscope Pictures,93,66
776,After Tiller,"Documentary,Drama,Special Interest","Lana Wilson,Martha Shane",2013,Oscilloscope Pictures,92,85
777,We Steal Secrets: The Story Of Wikileaks,"Documentary,Special Interest",Alex Gibney,2013,Focus World,91,75
778,Beyond The Hills,"Art House & International,Drama",Cristian Mungiu,2013,IFC Films,90,81
779,Caesar Must Die,"Art House & International,Documentary,Drama,Musical & Performing Arts,Special Interest","Paolo Taviani,Vittorio Taviani",2013,Adopt Films,92,73
780,The Conjuring,"Horror,Mystery & Suspense",James Wan,2013,Warner Bros. Pictures,85,83
781,Gimme The Loot,Drama,Adam Leon,2013,IFC Films,91,65
782,The Punk Singer,"Documentary,Musical & Performing Arts",Sini Anderson,2013,IFC Films,91,83
783,The Angels' Share,"Comedy,Drama",Ken Loach,2013,IFC Films,89,78
784,Much Ado About Nothing,Comedy,Joss Whedon,2013,Roadside Attractions,86,77
785,Our Nixon,"Documentary,Special Interest","Aug 30,2013
 limited",2013,Cinedigm,91,74
786,Inequality For All,"Documentary,Special Interest",Jacob Kornbluth,2013,Radius-TWC,90,88
787,This Is the End,"Action & Adventure,Comedy,Drama,Horror","Seth Rogen,Evan Goldberg",2013,Sony Pictures,83,71
788,Iron Man 3,"Action & Adventure,Science Fiction & Fantasy",Shane Black,2013,Walt Disney Pictures,79,78
789,Side Effects,"Drama,Mystery & Suspense",Steven Soderbergh,2013,Open Road Films,83,70
790,My Brother The Devil,Drama,Sally El Hosaini,2013,Paladin,90,70
791,Fill the Void,"Art House & International,Drama",Rama Burshtein,2013,Sony Pictures Classics,89,69
792,Upstream Color,"Drama,Mystery & Suspense,Romance",Shane Carruth,2013,Independent Pictures/Metrodome Dist.,86,69
793,Sunshine on Leith,Musical & Performing Arts,Dexter Fletcher,2013,Orion Releasing LLC.,90,71
794,A Place at the Table,Documentary,"Kristi Jacobson,Lori Silverbush",2013,Magnolia Pictures,89,73
795,The Way Way Back,"Comedy,Drama","Jim Rash,Nat Faxon",2013,Fox Searchlight,84,84
796,In the House,Mystery & Suspense,François Ozon,2013,Cohen Media Group,88,84
797,Narco Cultura,"Documentary,Special Interest",Shaul Schwarz,2013,Cinedigm Entertainment Group,89,77
798,Yossi,Drama,Eytan Fox,2013,Strand Releasing,89,70
799,We Are What We Are,"Drama,Horror,Mystery & Suspense",Jim Mickle,2013,Entertainment One,87,49
800,The Wolf of Wall Street,Drama,Martin Scorsese,2013,Paramount Studios,79,82
801,What Maisie Knew,Drama,"David Siegel,Scott McGehee",2013,Millenium Entertainment,86,80
802,Computer Chess,Comedy,Andrew Bujalski,2013,Kino Lorber,87,53
803,Prisoners,"Drama,Mystery & Suspense",Denis Villeneuve,2013,Warner Bros.,80,87
804,Hannah Arendt,Drama,Margarethe von Trotta,2013,Zeitgeist Films,87,75
805,Saving Mr. Banks,"Comedy,Drama",John Lee Hancock,2013,Walt Disney Pictures,79,84
806,Sightseers,Comedy,Ben Wheatley,2013,IFC Films,85,62
807,Warm Bodies,Comedy,Jonathan Levine,2013,Lionsgate Films,81,73
808,At Berkeley,"Documentary,Drama,Special Interest",Frederick Wiseman,2013,Zipporah,87,72
809,Berberian Sound Studio,Horror,Peter Strickland,2013,IFC Films,85,53
810,The Place Beyond The Pines,Drama,Derek Cianfrance,2013,Focus Features,80,75
811,Happy People: A Year in the Taiga,"Art House & International,Documentary,Special Interest","Werner Herzog,Dmitry Vasyukov",2013,Music Box Films,87,77
812,From Up On Poppy Hill,"Animation,Art House & International,Drama,Kids & Family",Goro Miyazaki,2013,Independent Pictures,85,79
813,The Attack,Drama,Ziad Doueiri,2013,Cohen Media Group,86,78
814,The Patience Stone,Drama,Atiq Rahimi,2013,Sony Pictures Classics,86,75
815,Argo,"Drama,Mystery & Suspense",Ben Affleck,2012,Warner Bros. Pictures,96,90
816,Skyfall,"Action & Adventure,Mystery & Suspense",Sam Mendes,2012,MGM,92,86
817,Marvel's The Avengers,"Action & Adventure,Science Fiction & Fantasy",Joss Whedon,2012,Walt Disney Pictures,92,91
818,Looper,"Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy",Rian Johnson,2012,Sony Pictures,93,82
819,Moonrise Kingdom,Comedy,Wes Anderson,2012,Focus Features,93,86
820,Jiro Dreams of Sushi,"Art House & International,Documentary,Special Interest",David Gelb,2012,Magnolia Pictures,99,92
821,The Cabin in the Woods,"Horror,Mystery & Suspense",Drew Goddard,2012,Lionsgate Films,91,74
822,How to Survive a Plague,"Documentary,Special Interest",David France,2012,Sundance Selects,99,83
823,Wake in Fright,"Drama,Mystery & Suspense",Ted Kotcheff,2012,Drafthouse Films,100,84
824,Silver Linings Playbook,Comedy,David O. Russell,2012,The Weinstein Company,92,86
825,The Invisible War,"Documentary,Special Interest",Kirby Dick,2012,Cinedigm,99,84
826,Amour,"Art House & International,Drama","Michael Haneke,Michaelhaneke",2012,Sony Pictures Classics,93,82
827,Monsieur Lazhar,"Art House & International,Comedy,Drama",Philippe Falardeau,2012,Music Box Films,97,86
828,The Dark Knight Rises,"Action & Adventure,Drama,Mystery & Suspense",Christopher Nolan,2012,Warner Bros. Pictures,87,90
829,Ai Weiwei: Never Sorry,"Documentary,Special Interest",Alison Klayman,2012,IFC Films,98,87
830,The Kid with a Bike,"Art House & International,Drama","Jean-Pierre Dardenne,Luc Dardenne",2012,IFC Films,96,76
831,This Is Not a Film,"Art House & International,Documentary,Special Interest","Jafar Panahi,Mojtaba Mirtahmasb",2012,Palisades Tartan,97,69
832,The Secret World of Arrietty,"Animation,Art House & International,Science Fiction & Fantasy",Hiromasa Yonebayashi,2012,Walt Disney Pictures,95,85
833,West of Memphis,Documentary,Amy Berg,2012,Sony Pictures Classics,96,87
834,The Loved Ones,"Art House & International,Horror",Sean Byrne,2012,Independent Pictures,98,74
835,Beware Of Mr. Baker,"Documentary,Musical & Performing Arts",Jay Bulger,2012,Independent Films,98,87
836,Undefeated,"Documentary,Special Interest,Sports & Fitness","Dan Lindsay,T.J. Martin",2012,The Weinstein Company,96,89
837,Lincoln,Drama,Steven Spielberg,2012,Dreamworks Pictures,89,80
838,Mea Maxima Culpa: Silence In The House Of God,"Documentary,Special Interest",Alex Gibney,2012,Independent Pictures,98,90
839,The Island President,Documentary,Jon Shenk,2012,Samuel Goldwyn Films,98,78
840,"Oslo, August 31st","Art House & International,Drama",Joachim Trier,2012,Strand Releasing,97,82
841,The Imposter,"Documentary,Special Interest",Bart Layton,2012,Indomina Films,95,78
842,The Queen of Versailles,"Documentary,Special Interest",Lauren Greenfield,2012,Magnolia Pictures,95,73
843,Marley,"Documentary,Musical & Performing Arts,Special Interest",Kevin Macdonald,2012,Magnolia Pictures,95,90
844,Searching for Sugar Man,"Documentary,Musical & Performing Arts",Malik Bendjelloul,2012,Sony Pictures Classics,94,92
845,The Sessions,"Comedy,Drama",Ben Lewin,2012,Fox Searchlight Pictures,91,80
846,Chasing Ice,"Documentary,Special Interest",Jeff Orlowski,2012,National Geographic,96,85
847,Sister,Drama,Ursula Meier,2012,Adopt Films,96,75
848,Brooklyn Castle,"Documentary,Special Interest",Katie Dellamaggiore,2012,Producers Distribution Agency,96,81
849,Marina Abramovic: The Artist Is Present,"Documentary,Musical & Performing Arts","Matthew Akers,Jeff Dupre",2012,Music Box Films,96,88
850,5 Broken Cameras,"Art House & International,Documentary,Drama,Special Interest","Emad Burnat,Guy Davidi",2012,Kino Lorber Films,96,88
851,Django Unchained,"Drama,Western",Quentin Tarantino,2012,The Weinstein Co.,86,91
852,Barbara,"Art House & International,Drama",Christian Petzold,2012,Adopt Films,94,76
853,Headhunters,"Action & Adventure,Art House & International,Mystery & Suspense",Morten Tyldum,2012,Magnolia Pictures,93,85
854,Holy Motors,"Drama,Science Fiction & Fantasy,Special Interest",Leos Carax,2012,Indomina Releasing,91,71
855,Life of Pi,"Action & Adventure,Drama",Ang Lee,2012,20th Century Fox,87,84
856,Diana Vreeland: The Eye Has To Travel,Documentary,"Lisa Immordino Vreeland,Bent-Jorgen Perlmutt,Frédéric Tcheng",2012,Samuel Goldwyn Films,94,79
857,The House I Live In,"Documentary,Special Interest",Eugene Jarecki,2012,Abramorama Entertainment,94,85
858,Sing Your Song,"Documentary,Musical & Performing Arts,Special Interest,Television",Susanne Rostock,2012,S2BN Films,95,79
859,Elena,Drama,Andrey Zvyagintsev,2012,Zeitgeist Films,94,73
860,"Farewell, My Queen","Art House & International,Drama",Benoît Jacquot,2012,Cohen Media Group,93,56
861,The Hunger Games,"Drama,Mystery & Suspense,Science Fiction & Fantasy",Gary Ross,2012,Lionsgate,84,81
862,First Position,"Art House & International,Comedy,Documentary,Drama,Kids & Family,Special Interest",Bess Kargman,2012,Sundance Selects,93,84
863,The Central Park Five,"Documentary,Special Interest","Ken Burns,Sarah Burns,David McMahon",2012,IFC Films,93,86
864,I Wish,"Art House & International,Drama",Hirokazu Koreeda,2012,Magnolia Pictures,93,84
865,Safety Not Guaranteed,"Comedy,Drama",Colin Trevorrow,2012,Film District,90,80
866,Frankenweenie,"Animation,Comedy,Horror,Science Fiction & Fantasy",Tim Burton,2012,Walt Disney Pictures,87,70
867,Side by Side,"Documentary,Television","Christopher Kenneally,Chris Kenneally",2012,Tribecca Film,93,86
868,ParaNorman,"Action & Adventure,Animation,Comedy,Kids & Family","Sam Fell,Chris Butler",2012,Focus Features,88,72
869,Beasts of the Southern Wild,Drama,Benh Zeitlin,2012,Fox Searchlight,87,76
870,Once Upon a Time in Anatolia,"Art House & International,Drama",Nuri Bilge Ceylan,2012,The Cinema Guild,92,74
871,The Master,Drama,Paul Thomas Anderson,2012,The Weinstein Company,85,61
872,"Turn Me On, Dammit!",Comedy,Jannicke Systad Jacobsen,2012,New Yorker Films,93,69
873,Compliance,"Drama,Mystery & Suspense,Special Interest",Craig Zobel,2012,Magnolia Pictures,89,60
874,Wreck-it Ralph,"Animation,Comedy,Kids & Family",Rich Moore,2012,Walt Disney Pictures,87,86
875,Bernie,Comedy,Richard Linklater,2012,Millenium Entertainment,88,72
876,A Royal Affair,"Art House & International,Drama",Nikolaj Arcel,2012,Magnolia Pictures,90,82
877,Arbitrage,"Drama,Mystery & Suspense",Nicholas Jarecki,2012,Roadside Attractions,87,62
878,Footnote,Drama,Joseph Cedar,2012,Sony Pictures Classics,90,71
879,"Electric Boogaloo: The Wild, Untold Story of Cannon Films","Documentary,Television",Mark Hartley,2012,Drafthouse Films,91,82
880,21 Jump Street,"Action & Adventure,Comedy","Christopher Miller,Phil Lord",2012,Sony Pictures,84,82
881,The Raid: Redemption,"Action & Adventure,Art House & International,Drama",Gareth Evans,2012,Sony Pictures Classics,86,87
882,The Perks of Being a Wallflower,Drama,Stephen Chbosky,2012,Lionsgate Films,86,89
883,In Darkness,Drama,Agnieszka Holland,2012,Sony Pictures,88,80
884,Chronicle,"Art House & International,Drama,Horror,Mystery & Suspense,Science Fiction & Fantasy",Josh Trank,2012,20th Century Fox,85,71
885,End of Watch,Drama,David Ayer,2012,Open Road Films,85,86
886,The Pirates! Band of Misfits,"Action & Adventure,Animation,Comedy","Peter Lord,Jeff Newitt",2012,Sony Pictures,86,60
887,La fée (The Fairy),"Art House & International,Comedy,Drama","Fiona Gordon (II),Dominique Abel,Bruno Romy",2012,Kino Lorber,90,56
888,Keep the Lights On,"Drama,Gay & Lesbian",Ira Sachs,2012,Music Box Films,89,63
